,ROI,ECM_dim0_umap_coord1,ECM_dim0_umap_coord2,ECM_dim1_umap_coord1,ECM_dim1_umap_coord2,ECM_dim0_PCA_coord1,ECM_dim0_PCA_coord2,ECM_dim1_PCA_coord1,ECM_dim1_PCA_coord2,ECM_dim0_entropy,ECM_dim0_number_of_points,ECM_dim1_entropy,ECM_dim1_number_of_points,cancer_dim0_umap_coord1,cancer_dim0_umap_coord2,cancer_dim1_umap_coord1,cancer_dim1_umap_coord2,cancer_dim0_PCA_coord1,cancer_dim0_PCA_coord2,cancer_dim1_PCA_coord1,cancer_dim1_PCA_coord2,cancer_dim0_entropy,cancer_dim0_number_of_points,cancer_dim1_entropy,cancer_dim1_number_of_points,leukocytes_dim0_umap_coord1,leukocytes_dim0_umap_coord2,leukocytes_dim1_umap_coord1,leukocytes_dim1_umap_coord2,leukocytes_dim0_PCA_coord1,leukocytes_dim0_PCA_coord2,leukocytes_dim1_PCA_coord1,leukocytes_dim1_PCA_coord2,ECM_leukocytes_dim0_entropy_x,ECM_leukocytes_dim0_number_of_points_x,ECM_leukocytes_dim1_entropy_x,ECM_leukocytes_dim1_number_of_points_x,ECM_cancer_dim0_umap_coord1,ECM_cancer_dim0_umap_coord2,ECM_cancer_dim1_umap_coord1,ECM_cancer_dim1_umap_coord2,ECM_cancer_dim0_PCA_coord1,ECM_cancer_dim0_PCA_coord2,ECM_cancer_dim1_PCA_coord1,ECM_cancer_dim1_PCA_coord2,ECM_cancer_dim0_entropy,ECM_cancer_dim0_number_of_points,ECM_cancer_dim1_entropy,ECM_cancer_dim1_number_of_points,ECM_leukocytes_dim0_umap_coord1,ECM_leukocytes_dim0_umap_coord2,ECM_leukocytes_dim1_umap_coord1,ECM_leukocytes_dim1_umap_coord2,ECM_leukocytes_dim0_PCA_coord1,ECM_leukocytes_dim0_PCA_coord2,ECM_leukocytes_dim1_PCA_coord1,ECM_leukocytes_dim1_PCA_coord2,ECM_leukocytes_dim0_entropy_y,ECM_leukocytes_dim0_number_of_points_y,ECM_leukocytes_dim1_entropy_y,ECM_leukocytes_dim1_number_of_points_y,cancer_leukocytes_dim0_umap_coord1,cancer_leukocytes_dim0_umap_coord2,cancer_leukocytes_dim1_umap_coord1,cancer_leukocytes_dim1_umap_coord2,cancer_leukocytes_dim0_PCA_coord1,cancer_leukocytes_dim0_PCA_coord2,cancer_leukocytes_dim1_PCA_coord1,cancer_leukocytes_dim1_PCA_coord2,cancer_leukocytes_dim0_entropy,cancer_leukocytes_dim0_number_of_points,cancer_leukocytes_dim1_entropy,cancer_leukocytes_dim1_number_of_points,combined_umap_coord1,combined_umap_coord2,combined_PCA_coord1,combined_PCA_coord2
0,CRUK0037_R5_ROI_1,3.829945551670885,-0.4691763580414036,6.734361215197607,0.0197103053486372,4.83484053079119e-05,8.585258950266796e-05,5.533430880833405e-06,-4.345865110421912e-05,0.5887075828424688,900.0,0.5008970561642535,160.0,-9.83153950715807,-5.774606201232237,7.496513861762683,7.308457742142486,-0.0012415054115532,-0.0004173267184891,9.966318249764488e-05,3.430699572689218e-05,0.1417519794544205,5,0.0,0,-7.893876892406415,-3.7180632279854,1.8908140575027788,-4.787697251819212,-0.0008509337022581,-0.0003975264193729,5.874937903990665e-05,2.476557620992833e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CRUK0052_R4,10.412628227072464,-5.1425150815970015,-2.664238355160452,4.356075935592859,-0.0002719212781345,-7.165157301976296e-06,-6.288789726426295e-05,1.2902138841096703e-05,0.5433218488504343,445.0,0.4435145737746196,59.0,14.86677741491734,4.5534390194724,7.925220878896771,-6.036801060719221,0.0041031820977221,-0.000762530116338,-0.0005643891315332,0.0001569324556757,0.6545536260175779,2338,0.6190387287602473,666,-2.7398373998058947,3.1555748051301773,3.4352008920166544,-3.053524324538861,-0.0005419560368844,6.270246759855447e-06,4.382708944538454e-05,1.5481937093508463e-06,0.3771921580517816,38.0,0.3496327522361573,17.0,-0.3495694446949592,-9.008427999267614,0.1447852738596209,1.084485007864281,-9.886669793024826e-05,4.803169750023482e-05,2.852406772497031e-05,-2.6499878496912136e-05,0.4562525168369166,76.0,0.4445795287785797,41.0,-8.1399118926736,0.9943000539938311,-3.346792298960683,1.3908845796818474,3.58382850895806e-05,-9.68918893771386e-06,8.545520670873867e-06,2.8737938210062408e-06,0.3771921580517816,38.0,0.3496327522361573,17.0,-0.274170165126129,-4.058218690853034,0.4133863380784962,5.317645431061788,-8.699464866173948e-05,-3.2705646036963086e-06,3.311931308335662e-05,-1.3342873743218463e-05,0.3984145213973526,48.0,0.4038410164807067,26.0,3.605773258383636,4.306060738520832,0.0037909829811427,0.0012099756858117
2,CRUK0037_R5_ROI_2,5.249590411899158,-1.7446034384807687,1.6803457015754644,5.274611567813761,-3.2949650385312656e-05,-4.477645306395647e-05,-2.8164699631268745e-05,1.5925343961696816e-05,0.6130909372552086,1131.0,0.4999460684967058,187.0,2.8098114620229966,4.69850375358942,2.281506040198724,2.968901663360949,-0.0001549792583453,-1.244516739533012e-05,4.999581828041966e-05,-2.0492080582862865e-05,0.549845355797609,475,0.4341229481057346,70,-4.079048262271097,2.085732382774568,0.3764233029923814,-4.604251040938874,-0.0005927030334501,-8.180337498253365e-05,5.877745569978397e-05,2.023167530202672e-05,0.4049155332085265,53.0,0.3517576087036163,31.0,-0.0793055639881006,-6.272945786453598,1.3404601937436451,1.5572759091504988,-2.998848639902046e-05,1.8012776715563174e-05,1.2066027734978344e-05,1.015375539465743e-05,0.4272371725068937,55.0,0.3429494542313848,21.0,-8.390564104292979,2.4826699865573456,-5.5732376053489645,1.613441713139006,1.908540213116349e-05,8.77915343335028e-06,1.0017326740365696e-05,1.568266061287172e-05,0.4049155332085265,53.0,0.3517576087036163,31.0,-4.310711724264857,-2.1069416638264973,0.7249911117798546,3.349129704206032,2.7618431090956693e-05,-5.123688789637298e-05,6.615894694969791e-06,9.75104621019122e-06,0.3322982799892907,19.0,0.2957312575842356,9.0,-1.8363795987264429,-1.211945176717933,-0.0005110874436978,0.0006043666519485
3,CRUK0001_R3_ROI_1,4.640616029700643,-0.9412004040201524,2.9859925102958176,4.021695199226569,-4.137733411885146e-06,2.059525753202105e-05,-1.592748334463755e-05,-2.1814991804224653e-05,0.5980925266038128,1002.0,0.4912115500193463,159.0,-4.32886872819024,-0.1610577268389354,5.388676421239882,4.658511644535612,-0.0008785444099914,0.0002495564761531,9.621218270106422e-05,1.9810225802091043e-05,0.4635547776637791,137,0.3184338158512524,25,-4.034004262021307,1.7201624439387662,0.5955531639367739,-5.266992475611573,-0.0007015033238654,-9.956249764796555e-05,5.98058493865806e-05,1.8034328324790007e-05,0.3982636217948879,50.0,0.3288182869636937,22.0,-0.1098153231978303,-10.02671503275134,0.6783326430079976,-0.3445420289513049,-8.55144432848044e-05,-1.446549802728894e-05,1.475961184768062e-05,3.4052443952467454e-07,0.4364092330926293,69.0,0.3959529039929852,28.0,-3.808451201046148,0.4474494785743034,-5.8876253890695205,1.4292568859426051,1.4787038273319189e-05,4.917172809565167e-05,5.677779625734956e-06,2.7821994498933152e-05,0.3982636217948879,50.0,0.3288182869636937,22.0,-3.9831374037562006,-2.2082651553098867,-0.2431442861991435,1.992163315136532,1.9016459737485903e-05,-6.962029193183206e-05,-1.872909691431019e-05,2.6227557881594736e-05,0.3533298866137415,29.0,0.2992425552539729,11.0,-1.4511183863798134,-3.412766016875572,-0.0012634858606989,0.0005823602535971
4,CRUK0009_R3_ROI_1,10.179873291330846,-2.907888527460152,-1.9544489970165997,4.139092015832714,-0.0002059253946857,-5.037331820530675e-05,-4.954492740409923e-05,1.771519888871147e-05,0.5843883816235534,715.0,0.4412571422925552,104.0,14.971328941462884,4.657823339320611,8.068061860377808,-5.9082703716884,0.0033536872470258,-0.0004778543318848,-0.0004261980357066,5.45280819713724e-05,0.6431240587627823,1889,0.5902838636188849,499,-5.907534152223241,-1.7816862547818213,2.462523123715843,-5.373421009095905,-0.0006800149543391,-0.0003246980767427,5.71388294639423e-05,2.5581561041268644e-05,0.3484276600941746,33.0,0.2224165747941728,9.0,-0.2743382779978503,-8.537131363534128,0.1582146709131938,1.614309532784975,-6.468147047536112e-05,5.162231138164156e-05,1.2874077882322486e-05,-2.162668168937901e-05,0.4414194588993472,81.0,0.4131265056023712,38.0,-7.531148381537814,-0.5014532098854423,-4.453135780416092,0.1103135416253001,5.164942329569999e-05,-7.979480134229871e-06,3.107951840298979e-05,-1.4437955950631048e-05,0.3484276600941746,33.0,0.2224165747941728,9.0,-3.4906228137905235,-2.734620872373817,-3.147992403659908,3.4140051000989327,1.2943783421889882e-05,-0.0001018017248975,-1.8572490552903177e-05,1.3983336682947196e-05,0.363061142358241,32.0,0.2686172376555013,11.0,3.858284689939057,4.068886691849461,0.0029952747237611,0.0012280424301404
5,CRUK0002_R1_ROI_1,9.356630103023752,-2.4410247956293887,2.104999920129071,5.905078932034626,-0.0001376917409352,-1.8517808405859236e-06,-3.811897254556074e-05,-1.1788014323846587e-05,0.5771225978315482,725.0,0.4839937757425854,112.0,-1.8612674856381348,9.405837175984752,4.270168289308597,-5.686711847679734,0.0012858010918724,0.0004531833350297,-0.0001165445038201,-0.0001262185942694,0.5916162713327315,855,0.5171094089703712,180,0.2933881488353893,4.167889489407464,3.965156435750825,-3.0823923865273604,-0.0004346819788797,0.0002051190474907,5.041744743549383e-05,3.5423179856893487e-06,0.3756755329630747,40.0,0.3570448711323989,18.0,0.2764748624633785,-5.870130896219042,0.9861440567981656,2.017559427565157,-2.232008407557648e-05,2.523892276786988e-06,1.3962731174151686e-05,-1.8890127058277645e-06,0.4332699526149427,66.0,0.3763202740129943,29.0,-8.917063580683273,0.6538340487036732,-5.493468573689913,-0.2754207137446759,3.633904769771038e-05,-2.158770879356138e-05,1.9847647201058647e-05,-5.82353787203291e-06,0.3756755329630747,40.0,0.3570448711323989,18.0,-0.0503004649553904,-3.1253106288274037,0.31915650909686,4.86645411088786,-6.764401931664468e-05,5.672972135465591e-05,1.829580425250746e-05,-8.044199266409838e-06,0.3955551651910525,45.0,0.3467391466834914,15.0,1.7784026648301534,3.437796668654669,0.0009209057846017,0.0006927719310408
6,CRUK0001_R2_ROI_2,0.9176226027127092,-3.195960141948952,6.0901998501450425,0.1983794079130189,0.0001339612354303,8.985651852298769e-05,2.8805016286589105e-05,-6.043491152913004e-05,0.597569975138861,1012.0,0.5127192492342075,193.0,-7.800385619295388,-4.037920596822027,6.134192044800784,5.278951899457455,-0.0011397037944164,-0.0002354267108217,0.0001003660784248,3.3756350832009115e-05,0.4001418414622765,70,0.2002147468228329,8,-0.1508402180075849,4.091055979561853,0.6986419482808958,-4.418984485262632,-0.0004903681622378,0.0001504816950269,5.994782196312103e-05,1.8108418660031746e-05,0.4287318561217338,60.0,0.3958713126408,31.0,1.879681347535107,-3.098990852015904,-0.6148663831112766,-0.6307536153406315,5.536505644897325e-06,-4.839939169193429e-05,1.424423116409118e-05,7.331489232754601e-06,0.4074828046462561,48.0,0.3474770530816129,20.0,-0.0502564728059114,-3.0497324392209664,0.574142441624206,1.4538408837044303,-3.997692984574068e-05,1.9375456068766103e-05,-2.237811287786773e-05,2.680582172653373e-05,0.4287318561217338,60.0,0.3958713126408,31.0,-6.648703147860167,-1.8911024599113435,0.2365653153965296,3.1977580764195483,5.782289536024288e-05,-1.1228574737673588e-06,-4.053062491764237e-06,6.307128937820062e-06,0.3588974613592879,29.0,0.2040120781240527,10.0,0.1792044250564446,-4.213780394272748,-0.001465737369154,0.0003476931092758
7,CRUK0024_R7_ROI_1,9.796202033814604,-2.703244099066805,-1.8866260082754984,4.056683201107183,-0.0001668659949815,-1.8362815084955447e-05,-4.4760041980934576e-05,1.923362912187248e-05,0.5841173038086386,773.0,0.4643255535077455,131.0,-1.2506553715096105,9.281166700269909,4.343248323858197,-6.266845935002158,0.0013156516724984,0.0002911723158253,-0.0001432904177877,-8.208212777108836e-05,0.593023943574421,823,0.5302188435466915,190,0.951588330059691,4.892026179748272,3.6992254248745366,-1.5756923058604393,-0.0003118226649155,0.0003171252022697,5.091987474579156e-05,-2.2467471656461897e-05,0.3960267122788679,49.0,0.3333936201876324,19.0,-0.1177977741782013,-1.6389405476950658,-1.2477272683271732,-3.461328450679512,5.204328735921533e-05,-1.6746135685319787e-05,-1.202308542998396e-05,3.656464254147197e-06,0.3807758595249419,37.0,0.3723158673809154,21.0,-8.601281038567816,2.035235544187613,-6.253873738836846,0.5874288029200134,1.695986942315493e-05,5.197384775810989e-06,2.1052312687922705e-05,1.095529395837633e-07,0.3960267122788679,49.0,0.3333936201876324,19.0,2.948459355865421,-5.0761848816487625,2.5821429956772204,6.08010204048002,-0.0001498384513498,-1.5975090506133423e-05,7.792812784819121e-05,-5.86998206845402e-06,0.4173431078966528,57.0,0.3898288636926525,30.0,2.129770510360139,3.5458025680624905,0.0009852487999828,0.0005857527089566
8,CRUK0004_R3_ROI_1,8.680437326976783,-3.084204702665596,2.035242424011267,6.224366107014813,-0.0001780105365724,7.287333681930657e-05,-4.0062945275407866e-05,-1.8829097994197533e-05,0.5393425573262255,423.0,0.4424445339846553,73.0,0.5953232882797906,1.4204672657503434,2.313535703214004,3.2593937834779725,-0.0006696058315133,0.0001283819755513,7.147940707350535e-05,-3.0978650071885472e-06,0.4780284623879049,184,0.3868164135009994,37,-0.2238946312903192,4.295945559609018,3.501934036894481,-1.7639380382882706,-0.0005094989676637,0.0002151484952472,5.211873177417973e-05,-1.03171610440964e-05,0.4203001607148952,57.0,0.3637547173364862,22.0,-0.6715149545206671,-0.2682141174245479,-3.841310495531131,-4.133784572871205,0.0001231431897616,5.1993890126052255e-05,-2.270368743086529e-05,-5.692106921523676e-06,0.3078312421662362,18.0,0.2840425175434015,7.0,-9.23978450357464,2.1744542170347314,0.1396079245771886,1.5281570875551442,8.56896191297724e-06,-7.989650385142167e-07,-1.212263649293822e-05,1.7976617419389787e-05,0.4203001607148952,57.0,0.3637547173364862,22.0,-1.317668359861066,-4.329407290473037,-0.6285838373019383,4.739977942992017,-1.4871157473768716e-05,3.106720924221409e-06,6.859159088629493e-06,-1.8685282275542335e-05,0.3542859652755621,25.0,0.3441846768636413,13.0,-0.8894122333938539,-1.3530622781731516,-0.0010021902434833,0.0004660474302849
9,CRUK0009_R3_ROI_2,5.513841559306776,-1.9472813272535403,1.6303709155061177,4.402920459388717,-7.253789172400783e-05,-7.401364009618822e-05,-1.3447941059279829e-05,2.215496666266396e-05,0.6102803430324184,1101.0,0.5185315260239035,200.0,15.05324084899856,4.739682995390648,8.282790355474766,-5.682937438603127,0.0030512186554573,-0.0004740505787985,-0.0004037231477099,6.416307133358716e-05,0.6408360991351995,1808,0.5868974831307591,461,0.6191340458168777,4.193884411011378,1.315739735520462,-4.041131774090751,-0.0003512663903662,0.0002150293105675,5.429112634946144e-05,8.065324704114306e-06,0.4284390880264064,57.0,0.3627372489042827,20.0,-0.4896399772031882,-7.462578610859979,0.3138107894524142,1.777066536979681,-5.294945334675508e-05,3.8224503656188775e-05,2.23292340656529e-05,-2.0378715741579795e-05,0.4460582720073821,65.0,0.3815668813744378,29.0,9.791370824577646,1.6263651847939238,-2.6342669265346825,0.8639204929868873,-2.214704149011283e-05,-1.5720358435025084e-05,-3.2760531496432754e-06,-4.268058196002687e-06,0.4284390880264064,57.0,0.3627372489042827,20.0,3.2187684119417868,-5.151606258518548,1.7401812791139435,5.911313728352021,-0.0001619643035066,-5.566349543162056e-06,4.066448786798065e-05,1.4608475696841495e-06,0.4202877668624205,52.0,0.350980144435584,24.0,3.745284643896568,4.115805859057217,0.0027447884599914,0.000859965703485
10,CRUK0036_R2_ROI_2,10.646298433187212,-5.764836579348157,-3.29943183451763,5.0934743150726,-0.0003148970049696,-4.414616349366656e-05,-7.068133266773144e-05,2.457508727160759e-05,0.5450107569150368,452.0,0.3458911837326001,49.0,-2.1938322159455867,9.672917382339982,4.282291683229261,-5.101108299466623,0.0010263008131674,0.0006704794791537,-4.922100040160565e-05,-0.0001427405819263,0.5764601982840823,698,0.4942024057916153,139,-6.783782066551184,-3.126308925543783,2.1633190528681285,-5.349150712615229,-0.0008516562160384,-0.0003431652829289,5.874964788830032e-05,2.476619237526917e-05,,,,,0.1739301810316119,-3.817629152448306,0.1352008378962104,-0.3515092671352383,1.1687558004182408e-05,-1.645177702797065e-05,4.418751612410713e-06,6.244183926121035e-06,0.4166453075879266,56.0,0.3492847233588374,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CRUK0006_R2_ROI_2,0.1097779103928395,-1.7704578688896124,7.43341009401393,-1.031637382722369,0.0001967566177508,5.976891981820669e-05,4.271097900442737e-05,-4.3421680284092414e-05,0.6127885787974571,1284.0,0.5521520569376517,261.0,-9.947242297820967,-6.216651648423104,7.693217818413743,7.8518307395631854,-0.0012449857947602,-0.0004232549937515,9.966318249764488e-05,3.430699572689218e-05,0.2403763470968847,11,0.0,0,8.463419128723695,-1.3529239149884815,6.468369550756242,1.0848669303611265,0.0010736685114162,9.850064698751593e-05,-0.000118699257433,-3.826917392476829e-05,0.4362269894881678,74.0,0.4126774909161498,32.0,,,,,,,,,,,,,9.385739412155742,2.0555920517174404,0.3509095757398005,-0.0865716961344235,-2.9691483704083563e-05,-2.91130891360166e-05,-2.223523399802887e-05,-2.0981570146257074e-05,0.4362269894881678,74.0,0.4126774909161498,32.0,,,,,,,,,,,,,,,,
12,CRUK0001_R2_ROI_1,1.1179693495175846,-2.969423383452628,6.82861550296021,0.4176737527855998,0.0001227339311835,7.296204296505169e-05,1.2231627997059298e-05,-3.678443275910452e-05,0.6023017776452037,1091.0,0.5248797903109799,204.0,-2.3255378189124283,-1.029385255485174,7.534706424727199,6.432024527325182,-0.0009800249077059,-6.580482106864307e-05,9.664453064334608e-05,2.826525252811829e-05,0.4337684037255606,109,0.3103969885655207,12,0.1557514273599229,4.328502811915508,-1.86944323358928,-6.942278248128533,-0.0004953798100254,0.0002203063640871,5.891189090953342e-05,2.0005720323577094e-05,0.4250081235247306,59.0,0.3769337378528187,28.0,1.20998822247046,-3.9564659691311257,-3.194924730425218,-5.1336208750838095,2.5977752423571774e-06,-2.365028506197543e-05,-1.6274201066288135e-05,-1.094112803320417e-05,0.3993125524013104,42.0,0.3700855918399828,20.0,-0.0657189402250031,-3.790067361738551,0.1564469021362947,1.9094897082847524,-1.64174442497978e-05,2.5796210108403866e-05,-9.560118759684146e-06,2.886207172525964e-05,0.4250081235247306,59.0,0.3769337378528187,28.0,-5.260670805125987,-4.309217026808723,-2.587820308303655,3.8595585886872743,3.013595977600996e-05,-4.357997693612433e-05,-2.028968575635563e-05,-3.571302097799562e-06,0.3423179331734505,29.0,0.2131754570306425,10.0,-0.0708077809610142,-4.067568329792891,-0.0013173934558271,0.0003817439324499
13,CRUK0036_R2_ROI_1,9.861675343979842,-2.5446625702048964,-1.560067810908272,3.941639153137608,-0.000151472052188,-5.0752379369722544e-05,-3.7667804442352606e-05,2.011029562944189e-05,0.591261963369609,832.0,0.4760841073783872,133.0,-1.607474676825821,9.315503481476377,4.247410841452955,-6.427362007876605,0.0013871265032582,0.0004247705769478,-0.0001330721101547,-7.824624495737159e-05,0.5892923315176849,828,0.5044208118500321,185,-6.142698636375438,-2.613285830780173,2.710968923689815,-5.745690570854241,-0.000779257731754,-0.0003124363513304,5.944634607254014e-05,2.598692669308037e-05,0.3153001645706538,24.0,0.1963716058580659,6.0,0.1043455571139274,-3.289695115501296,-2.7106343529418973,-4.575993021562154,6.066331705840458e-05,-1.773520866405195e-05,-1.2083212342587416e-05,7.047277435988832e-07,0.3755345885207483,38.0,0.3239836986249121,14.0,-7.381674763749772,-0.897603980641262,-4.662930077236478,0.1837648603226824,7.995583157393382e-05,-2.0933791431878893e-06,3.1391586058253445e-05,-2.285787932322951e-06,0.3153001645706538,24.0,0.1963716058580659,6.0,-6.808797845072192,-3.3744521656918205,-2.9656626241567112,2.969514377149024,0.0001098902479881,4.231679432206751e-07,-3.775969354322711e-05,1.1781000697700349e-05,0.325723923018679,24.0,0.206019967300266,6.0,1.1326800994683486,3.5503617938554104,0.0009614173764502,0.0010388606541035
14,CRUK0002_R1_ROI_2,8.199034431277939,-2.4580795345449125,1.9684135331358148,5.656948014033332,-0.0001006865922698,2.8996500186243805e-05,-3.623380544226103e-05,-6.76136316013824e-06,0.5809139579706046,804.0,0.4924467189182643,140.0,-0.4696322001287555,4.687541149400911,0.7766728669992874,-1.1259321205418713,0.0002517220821512,0.0005440064959427,1.4640410103971877e-05,-5.219235516226706e-05,0.5496861456028936,467,0.4640242091964084,91,-3.202073966622359,1.968452162509312,3.509153573433576,-3.6160092105272823,-0.0007163127450052,-0.0001536777881322,5.589460209486073e-05,2.068022215189374e-05,0.3602805208226852,36.0,0.318380169833304,13.0,2.011071091347695,-3.631210857158033,-1.9807721501049127,-3.19623846645418,1.893403907076159e-05,-7.013147697254756e-05,-7.016326209108833e-06,2.298976132204461e-05,0.3906894982554433,41.0,0.385755360665159,23.0,-8.72954965343878,0.7739424329998804,-4.83428474728979,-0.2857983315878232,3.796252845914169e-05,-1.7909587415582106e-05,2.7296447069429492e-05,-6.641420547897231e-06,0.3602805208226852,36.0,0.318380169833304,13.0,-4.00916575835123,-2.1462544550493967,-2.237465563478203,1.1737685834245126,5.767170522400476e-05,-4.818732262093039e-05,-2.7242970930257344e-05,-4.089817874526719e-06,0.336543303284847,20.0,0.2301777721401263,6.0,-2.232887188347386,-0.750506389323477,-0.0001657654189986,0.0007859427526886
15,CRUK0047_R1,10.741474729140116,-5.951040739185824,-2.001532172098532,3.892186007421467,-0.000320581519497,-9.609259675775812e-05,-5.585312295366313e-05,2.4986977621677135e-05,0.5677663502523865,536.0,0.4942980172875009,85.0,-9.494023899353971,-5.451274654798027,7.866278066140373,7.3567598325427825,-0.0012333231630667,-0.0003894461989444,9.966318249764488e-05,3.430699572689218e-05,0.2162502419305458,12,-0.0,1,-8.031342357883181,-3.8468514130537663,3.2541171527128108,-3.9100974094820766,-0.000779540463161,-0.0003989782667988,5.726766654794387e-05,2.162460789835134e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
